,movie,year,duration,rating,metascore,genre,votes,gross,directorstars
0,The Chaos Class,1975,87,9.3,0,"Comedy, Drama            ",35105,0,"    Director:Ertem Egilmez     Stars:Kemal Sunal, Münir Özkul, Halit Akçatepe, Tarik Akan"
1,The Shawshank Redemption,1994,142,9.3,80,Drama            ,2203032,28.34,"    Director:Frank Darabont     Stars:Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler"
2,The Godfather,1972,175,9.2,100,"Crime, Drama            ",1517838,134.97,"    Director:Francis Ford Coppola     Stars:Marlon Brando, Al Pacino, James Caan, Diane Keaton"
3,The Dark Knight,2008,152,9,84,"Action, Crime, Drama            ",2184127,534.86,"    Director:Christopher Nolan     Stars:Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine"
4,The Godfather: Part II,1974,202,9,90,"Crime, Drama            ",1063339,57.3,"    Director:Francis Ford Coppola     Stars:Al Pacino, Robert De Niro, Robert Duvall, Diane Keaton"
5,The Mountain II,2016,135,8.9,0,"Action, Drama, War            ",102620,0,"    Director:Alper Caglar     Stars:Caglar Ertugrul, Ufuk Bayraktar, Ahu Türkpençe, Murat Serezli"
6,The Lord of the Rings: The Return of the King,2003,201,8.9,94,"Adventure, Drama, Fantasy            ",1565465,377.85,"    Director:Peter Jackson     Stars:Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom"
7,Pulp Fiction,1994,154,8.9,94,"Crime, Drama            ",1731081,107.93,"    Director:Quentin Tarantino     Stars:John Travolta, Uma Thurman, Samuel L. Jackson, Bruce Willis"
8,Schindler's List,1993,195,8.9,94,"Biography, Drama, History            ",1149504,96.9,"    Director:Steven Spielberg     Stars:Liam Neeson, Ralph Fiennes, Ben Kingsley, Caroline Goodall"
9,12 Angry Men,1957,96,8.9,96,Drama            ,643377,4.36,"    Director:Sidney Lumet     Stars:Henry Fonda, Lee J. Cobb, Martin Balsam, John Fiedler"
10,Fight Club,1999,139,8.8,66,Drama            ,1759302,37.03,"    Director:David Fincher     Stars:Brad Pitt, Edward Norton, Meat Loaf, Zach Grenier"
11,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,"Action, Adventure, Drama            ",1577417,315.54,"    Director:Peter Jackson     Stars:Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean"
